Student Name,Age,Gender,Institute Name,Course Name,class_Type,Duration,Assignments submitted,projects submitted,Mock_Test,Attendance(in %),Certification obtained,Final score(in %),Placement status
Laksh Reddy,24,Female ,AI Hub,Robotics,Offline,6 months ,5,1,64,78,No Certification,81,No
Riya Bhat,25,Female ,CyberSecure Institute,Robotics,Online,7 months,8,3,72,82,No Certification,91,No
Vivaan Pillai,22,Female ,CyberSecure Institute,Software Testing,Online,6 months,6,1,87,87,Harvard University Professional Certificate,77,Yes
Dev Kulkarni,25,Male,CyberSecure Institute,AI &ML,Online,5 months,7,3,100,83,IIT Madras Standard Course,75,No
Bhavna Pandey,26,Male ,CodeMasters,Robotics,Offline,6 months,6,2,29,100,No Certification,64,No
Aadhya Kulkarni,22,Male,Cloud Innovators,Web Development,Offline,7 months,7,2,81,99,No Certification,75,No
Kavya Verma,25,Female ,Tech Academy,Robotics,Offline,,9,2,38,72,Harvard University Professional Certificate,84,Yes
Kunal Venkatesh,23,Female ,Cloud Innovators,Data Analytics,Offline,6 months,9,1,92,79,No Certification,60,Yes
Priya Tripathi,22,Female ,CodeMasters,Ethical Hacking,Offline,5 months,10,3,61,86,NASSCOM Certification,66,No
Harsh Iyer,24,Male,CodeMasters,Python Programming,Offline,5 months,6,3,15,87,No Certification,64,Yes
Samar Verma,25,Male,CyberSecure Institute,AI &ML,Online,6 months ,7,2,18,70,No Certification,99,Yes
Tanvi Tripathi,22,Female ,CyberSecure Institute,Data Science,Online,7 months,10,3,13,85,AWS Specialization,77,No
Aadhya Naidu,22,Female ,CyberSecure Institute,Ethical Hacking,Online,6 months,9,1,35,99,AWS Specialization,76,No
Aryan Pillai,22,Female ,CyberSecure Institute,Data Science,Offline,5 months,8,2,55,95,No Certification,74,No
Vikram Deshmukh,22,Male,CodeMasters,Web Development,Offline,6 months,7,3,93,70,Harvard University Professional Certificate,73,Yes
Arjun Gowda,22,Male ,Cloud Innovators,Software Testing,Online,7 months,6,1,26,100,IIT Madras Standard Course,64,No
Aditya Verma,22,Male,CodeMasters,Data Science,Online,8 months,5,3,79,80,NASSCOM Certification,86,No
Jhanvi Naidu,22,Female ,Cloud Innovators,Software Testing,Online,6 months,10,3,59,86,IIT Madras Standard Course,85,No
Radha Mehta,23,Female ,AI Hub,Web Development,Offline,5 months,7,2,99,88,No Certification,64,Yes
Diya Pillai,25,Female ,CodeMasters,Ethical Hacking,Offline,5 months,7,3,67,80,NASSCOM Certification,82,Yes
Samar Reddy,21,Male,Cloud Innovators,Ethical Hacking,Online,6 months ,5,2,81,97,Harvard University Professional Certificate,78,Yes
Harsh Naidu,22,Male,CodeMasters,Robotics,Online,7 months,6,1,24,70,NASSCOM Certification,63,No
Samar Iyer,,Female ,CodeMasters,Web Development,Online,6 months,5,3,82,77,No Certification,72,Yes
Suman Kulkarni,24,Female ,AI Hub,Cybersecurity,Online,5 months,7,3,70,93,No Certification,80,Yes
Vikram Venkatesh,24,Female ,Tech Academy,Python Programming,Online,6 months,6,2,63,83,No Certification,76,No
Shruti Nair,25,Male,Cloud Innovators,Python Programming,Offline,7 months,6,,85,73,NASSCOM Certification,63,Yes
